Data;Nível (cm)
13/11/2018;567             
13/11/2018;567             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;567             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;567             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;566             
13/11/2018;565             
13/11/2018;566             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;566             
13/11/2018;566             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;565             
13/11/2018;564             
13/11/2018;565             
13/11/2018;565             
13/11/2018;564             
13/11/2018;565             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;564             
13/11/2018;563             
13/11/2018;564             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;562             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;563             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
13/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;562             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;562             
14/11/2018;562             
14/11/2018;563             
14/11/2018;563             
14/11/2018;564             
14/11/2018;564             
14/11/2018;565             
14/11/2018;565             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;565             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;564             
14/11/2018;563             
14/11/2018;564             
14/11/2018;563             
14/11/2018;564             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;562             
14/11/2018;562             
14/11/2018;563             
14/11/2018;563             
14/11/2018;563             
14/11/2018;562             
14/11/2018;562             
14/11/2018;563             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;562             
14/11/2018;561             
14/11/2018;562             
14/11/2018;561             
14/11/2018;561             
14/11/2018;562             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
14/11/2018;561             
15/11/2018;561             
15/11/2018;561             
15/11/2018;561             
15/11/2018;561             
15/11/2018;561             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;560             
15/11/2018;559             
15/11/2018;560             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;559             
15/11/2018;558             
15/11/2018;559             
15/11/2018;558             
15/11/2018;558             
15/11/2018;558             
15/11/2018;558             
15/11/2018;558             
